Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000117024761677105,-0.000199391632349491,0.0234887615625403,0,0,0,0.212310619599741,0.000113451233644099,-6.88207995327894E-07,-3.87899051912091E-08,0.000126242948641197,6.60918458958071E-08,0.000161006905791974,0,0,0,0,0,0,package://pan_tilt_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pan_tilt_urdf/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,2.83296052766835E-05,0.000132491493249356,-0.0174996054090694,0,0,0,0.116439048622548,5.4773296696691E-05,4.48041882672505E-08,-1.28518056547677E-09,3.6060486101088E-05,6.24058336574991E-10,6.71747800213724E-05,0,0,0,0,0,0,package://pan_tilt_urdf/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pan_tilt_urdf/meshes/link_1.STL,,link_1-1,Origin_joint_1,Axis2,joint_1,revolute,0.00136,-0.02505,0.0657,-1.5708,0,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
link_2,-0.000106670791177172,-0.0204708849183403,-0.022011080240118,0,0,0,0.0445303539967062,2.15391444555253E-05,1.54239563794704E-07,2.1428028531665E-08,2.69536793976105E-05,-4.1238886376038E-06,3.86352288574204E-05,0,0,0,0,0,0,package://pan_tilt_urdf/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pan_tilt_urdf/meshes/link_2.STL,,link_2-1,Origin_joint_2,Axis1,joint_2,revolute,0,-0.02545,0.00039,0,0,0,link_1,0,0,0,0,0,0,0,,,,,,,,
